dataset,target_axis,seed,n_pairs,label_multiset_preserved,target_true_mean,target_recorded_mean,target_recorded_shift,donor_true_mean,donor_recorded_mean,donor_recorded_shift,clean_donor_minus_target_contrast,recorded_target_minus_donor_contrast
b19_gfp_greedy,pos=27,0,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,1,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,2,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,3,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,4,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,5,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,6,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,7,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,8,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b19_gfp_greedy,pos=27,9,25,True,1.2972805813608,4.071596819938399,2.7743162385775992,4.071596819938399,1.2972805813608,-2.7743162385775992,2.7743162385775992,2.7743162385775992
b18_materials_greedy,Co axis,all,25,True,0.0,8.54,8.54,8.54,0.0,-8.54,8.54,8.54
