dataset,check,requires_known_axis,online_surface,target_control_contrast,detection_readout,detected_in_primary_runs,boundary
GFP B19,marginal label multiset,no,initial records,1.3322676295501878e-16,targeted label multiset equals random/clean by construction,no,Blind to paired relabeling that preserves recorded-label multiset.
GFP B19,global recorded-label mean,no,initial records,1.3322676295501878e-16,absolute mean delta targeted minus random,no,Global moments are unchanged up to numerical precision under paired swaps.
GFP B19,known target-slice mean,yes,initial records,2.749604123902079,target-slice recorded mean shift targeted minus random,yes,Effective when the correct slice/provenance group is already known and populated.
GFP B19,paired donor-target conditional contrast,yes,initial records,2.774316238577599,target-side recorded shift over swapped pairs,yes,Requires knowing or reconstructing the implicated donor-target pairing.
GFP B19,same-distribution audit R2 (mlp),no,held-out records from same recorded distribution,-0.06630783289225306,audit R2 delta targeted minus random,weak/no,Predictive skill on the recorded distribution can remain nontrivial while the scientific binding is wrong.
GFP B19,same-budget true-response shortfall (mlp),no,executed feedback,0.3628117388789991,selected true mean shortfall targeted versus random,yes after feedback,Measures harm after budget has been executed; not an early provenance detector.
GFP B19,false-axis acquisition excess (mlp),yes,proposed or executed acquisition trace,47.0,final false-axis count excess targeted versus random,yes,Requires either a monitored slice or an all-axis scan plus control calibration.
GFP B19,same-distribution audit R2 (tabm_mini),no,held-out records from same recorded distribution,-0.1146981818832234,audit R2 delta targeted minus random,weak/no,Predictive skill on the recorded distribution can remain nontrivial while the scientific binding is wrong.
GFP B19,same-budget true-response shortfall (tabm_mini),no,executed feedback,0.28260869381192855,selected true mean shortfall targeted versus random,yes after feedback,Measures harm after budget has been executed; not an early provenance detector.
GFP B19,false-axis acquisition excess (tabm_mini),yes,proposed or executed acquisition trace,36.1,final false-axis count excess targeted versus random,yes,Requires either a monitored slice or an all-axis scan plus control calibration.
Materials B18,marginal label multiset,no,initial records,4.4408920985006264e-17,targeted label multiset equals random/clean by construction,no,Blind to paired relabeling that preserves recorded-label multiset.
Materials B18,global recorded-label mean,no,initial records,4.4408920985006264e-17,absolute mean delta targeted minus random,no,Global moments are unchanged up to numerical precision under paired swaps.
Materials B18,known target-slice mean,yes,initial records,8.49956,target-slice recorded mean shift targeted minus random,yes,Effective when the correct slice/provenance group is already known and populated.
Materials B18,paired donor-target conditional contrast,yes,initial records,8.54,target-side recorded shift over swapped pairs,yes,Requires knowing or reconstructing the implicated donor-target pairing.
Materials B18,same-distribution audit R2 (mlp),no,held-out records from same recorded distribution,-0.07584347478041809,audit R2 delta targeted minus random,weak/no,Predictive skill on the recorded distribution can remain nontrivial while the scientific binding is wrong.
Materials B18,same-budget true-response shortfall (mlp),no,executed feedback,0.2795519999999998,selected true mean shortfall targeted versus random,yes after feedback,Measures harm after budget has been executed; not an early provenance detector.
Materials B18,false-axis acquisition excess (mlp),yes,proposed or executed acquisition trace,41.1,final false-axis count excess targeted versus random,yes,Requires either a monitored slice or an all-axis scan plus control calibration.
Materials B18,same-distribution audit R2 (tabm_mini),no,held-out records from same recorded distribution,-0.1043440394764873,audit R2 delta targeted minus random,weak/no,Predictive skill on the recorded distribution can remain nontrivial while the scientific binding is wrong.
Materials B18,same-budget true-response shortfall (tabm_mini),no,executed feedback,0.42413999999999996,selected true mean shortfall targeted versus random,yes after feedback,Measures harm after budget has been executed; not an early provenance detector.
Materials B18,false-axis acquisition excess (tabm_mini),yes,proposed or executed acquisition trace,49.7,final false-axis count excess targeted versus random,yes,Requires either a monitored slice or an all-axis scan plus control calibration.
