dataset,alpha,control_round_flag_rate,control_seed_any_flag_rate,target_round_flag_rate,target_seed_any_flag_rate,target_proposed_count,target_flagged_proposed_count,target_flagged_proposed_fraction,target_median_first_flag_round
bear_b70,0.0001,0.0,0.0,0.44,1.0,990,751,0.7585858585858586,0.0
bear_b70,0.001,0.0,0.0,0.46,1.0,990,775,0.7828282828282829,0.0
bear_b70,0.01,0.0,0.0,0.48,1.0,990,796,0.804040404040404,0.0
bear_b70,0.05,0.0,0.0,0.52,1.0,990,833,0.8414141414141414,0.0
cameo_b39,0.0001,0.0,0.0,0.6333333333333333,0.8,377,304,0.8063660477453581,0.0
cameo_b39,0.001,0.0,0.0,0.75,0.8,377,356,0.9442970822281167,0.0
cameo_b39,0.01,0.008333333333333333,0.05,0.7666666666666667,0.9,377,362,0.9602122015915119,0.0
cameo_b39,0.05,0.016666666666666666,0.1,0.8,1.0,377,372,0.986737400530504,0.0
gfp_b37,0.0001,0.0,0.0,0.98,1.0,3761,3760,0.999734113267748,0.0
gfp_b37,0.001,0.0,0.0,0.98,1.0,3761,3760,0.999734113267748,0.0
gfp_b37,0.01,0.0,0.0,0.98,1.0,3761,3760,0.999734113267748,0.0
gfp_b37,0.05,0.0,0.0,0.98,1.0,3761,3760,0.999734113267748,0.0
materials_b38,0.0001,0.0,0.0,1.0,1.0,2229,2229,1.0,0.0
materials_b38,0.001,0.0,0.0,1.0,1.0,2229,2229,1.0,0.0
materials_b38,0.01,0.0,0.0,1.0,1.0,2229,2229,1.0,0.0
materials_b38,0.05,0.0,0.0,1.0,1.0,2229,2229,1.0,0.0
